pdf,region,page,image,size,issue
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,London & South East England,-,-,-,"listings with no photo: [1, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15, 17, 19, 23, 24, 25, 26, 28, 29, 30, 31, 33, 38, 40, 41, 45, 47, 48, 49, 58, 59]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,River Thames & Oxfordshire,-,-,-,"listings with no photo: [1, 2, 3, 7, 11, 14, 18, 21, 22, 24, 29, 30, 31, 33, 34, 35, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49, 51, 52, 53, 55]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,East Anglia,-,-,-,"listings with no photo: [1, 2, 3, 6, 7, 10, 12, 13, 15, 17, 19, 20, 21, 24, 25, 26, 28, 29, 30, 32, 34, 35, 37, 38, 40, 43, 46, 48, 50, 51, 52, 53, 54, 55]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Southern Midlands,-,-,-,"listings with no photo: [1, 2, 3, 4, 6, 7, 8, 11, 12, 14, 17, 20, 21, 22, 26, 27, 28, 29, 30, 31, 33, 34, 35, 38, 39, 40, 41, 43, 45, 47, 48, 49, 50, 52, 54, 55, 56, 57, 59, 60, 61, 62, 64, 66, 67, 68]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Peak District & East Midlands,-,-,-,"listings with no photo: [1, 2, 3, 4, 11, 12, 13, 17, 18, 20, 21, 24, 27, 28, 30, 32, 34, 36, 37, 38, 41, 42, 43, 48, 49, 50, 51, 53, 54, 55, 56, 57, 58, 59, 61, 62, 63]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,West Wales To Brecon Beacons,-,-,-,"listings with no photo: [3, 8, 9, 10, 13, 14, 15, 16, 18, 19, 24, 31, 32, 36, 43, 47, 48, 49]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Cambrians To The Marches,-,-,-,"listings with no photo: [1, 3, 5, 12, 14, 16, 18, 20, 28, 31, 32, 37, 38, 42, 44, 46, 47, 50, 51, 52]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,North Wales & Cheshire,-,-,-,"listings with no photo: [4, 10, 11, 15, 17, 19, 21, 22, 24, 25, 26, 27, 28, 29, 31, 33, 36, 37, 38, 39, 41, 42, 46, 49, 50, 51]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,North Eryri Snowdonia,-,-,-,"listings with no photo: [1, 7, 11, 12, 15, 19, 21, 22, 27, 29, 34, 39]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Wharfedale & Bowland,-,-,-,"listings with no photo: [2, 3, 4, 5, 6, 9, 10, 11, 16, 21, 22, 26, 27, 29, 30, 31, 32, 33, 35]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Yorkshire Dales,-,-,-,"listings with no photo: [1, 2, 3, 10, 16, 18, 20, 21, 25, 26, 27, 31, 32, 34, 35, 38, 39, 41, 42, 44, 45]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,South Lake District,-,-,-,"listings with no photo: [2, 5, 7, 8, 10, 11, 15, 16, 18, 19, 20, 22, 24, 25, 27, 28, 29, 30, 32, 34, 35, 36, 37, 39, 43, 44, 46, 48, 49, 50, 51]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,North Lake District,-,-,-,"listings with no photo: [1, 4, 5, 6, 7, 11, 12, 13, 15, 18, 19, 21, 22, 27, 28, 30, 33, 35, 36, 38, 39, 40]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Pennines & York Moors,-,-,-,"listings with no photo: [2, 3, 4, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 35, 36, 38, 39, 41, 42, 44, 45, 48, 49, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Borders & Northumbria,-,-,-,"listings with no photo: [1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 30, 31, 32, 34, 37, 39, 40, 41, 42, 43, 46, 47, 48, 50, 51, 52]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Highlands & Perthshire,-,-,-,"listings with no photo: [3, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 32, 33, 35, 36, 38]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Cairngorms & River Dee,-,-,-,"listings with no photo: [1, 4, 5, 6, 9, 10, 11, 12, 13, 14, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,North West Highlands,-,-,-,"listings with no photo: [4, 6, 7, 8, 9, 11, 12, 16, 17, 18, 19, 22, 27, 28, 30, 31, 34, 35, 37]"
