name,country,county,lat,lng,total_routes,rocktype,already_on_map,url
Gouther Crags,England,Cumbria,54.5072,-2.7492,105,Rhyolite,,https://www.ukclimbing.com/logbook/crags/gouther_crags-485
Grasmoor,England,Cumbria,54.57156,-3.27762,6,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/grasmoor-3899
Gray Crags,England,Cumbria,54.50049,-2.89136,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/gray_crags-27496
Great Blake Rigg,England,Cumbria,54.3856,-3.1411,49,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/great_blake_rigg-367
Great Carrs,England,Cumbria,54.39871,-3.12507,2,UNKNOWN,yes,https://www.ukclimbing.com/logbook/crags/great_carrs-14982
Great Cars Buttress,England,Cumbria,54.39917,-3.11972,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/great_cars_buttress-3359
Great End,England,Cumbria,54.4648,-3.1963,56,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/great_end-14923
Great Gable,England,Cumbria,54.48218,-3.21882,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/great_gable-13883
Great How Crag,England,Cumbria,54.3886,-3.115,11,Rhyolite,,https://www.ukclimbing.com/logbook/crags/great_how_crag-1618
Great Round How,England,Cumbria,54.50417,-3.22611,21,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/great_round_how-9537
Green Crag,England,Cumbria,54.37359,-3.2329,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/green_crag_cumbria-15674
Greenhow End,England,Cumbria,54.5003,-2.9728,10,Rhyolite,,https://www.ukclimbing.com/logbook/crags/greenhow_end-1302
"Grey Buttress, Newlands",England,Cumbria,54.5378,-3.1856,10,Rhyolite,,https://www.ukclimbing.com/logbook/crags/grey_buttress_newlands-382
Grey Crag (Buttermere),England,Cumbria,54.5217,-3.2794,61,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/grey_crag_buttermere-381
Grey Crag (Coppermines),England,Cumbria,54.37972,-3.10528,11,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/grey_crag_coppermines-1812
Gunson Knott,England,Cumbria,54.4371,-3.157,10,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/gunson_knott-20016
Hard Knott,England,Cumbria,54.4109,-3.18514,6,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/hard_knott-13896
Harrison Stickle,England,Cumbria,54.45689,-3.10945,22,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/harrison_stickle-1826
Harter Fell,England,Cumbria,54.38674,-3.20505,3,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/harter_fell_cumbria-13919
Haystacks,England,Cumbria,54.50739,-3.24421,11,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/haystacks-1853
Hell Gill,England,Cumbria,54.43861,-3.14389,3,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/hell_gill_cumbria-1822
Helm Crag,England,Cumbria,54.4749,-3.0408,33,Rhyolite,,https://www.ukclimbing.com/logbook/crags/helm_crag-351
Helvellyn,England,Cumbria,54.5275,-3.0188,40,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/helvellyn-13902
High Scawdell Gill,England,Cumbria,54.5173,-3.1812,1,Andesite,,https://www.ukclimbing.com/logbook/crags/high_scawdell_gill-25901
High Stile,England,Cumbria,54.52145,-3.28762,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/high_stile-13886
Honister Crag,England,Cumbria,54.51778,-3.21444,7,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/honister_crag-376
Ill Crag,England,Cumbria,54.45562,-3.20003,5,UNKNOWN,yes,https://www.ukclimbing.com/logbook/crags/ill_crag-14860
Kilnshaw,England,Cumbria,54.46864,-2.93042,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/kilnshaw-1800
Kirk Fell,England,Cumbria,54.48333,-3.24406,5,UNKNOWN,yes,https://www.ukclimbing.com/logbook/crags/kirk_fell-13887
Knitting How,England,Cumbria,54.5408,-3.17,13,Rhyolite,,https://www.ukclimbing.com/logbook/crags/knitting_how-8713
Langstrath,England,Cumbria,54.48889,-3.13472,1,UNKNOWN,yes,https://www.ukclimbing.com/logbook/crags/langstrath-3144
Launchy Gill,England,Cumbria,54.53244,-3.07016,3,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/launchy_gill-1864
Link Cove Becks,England,Cumbria,54.50222,-2.96806,4,UNKNOWN,yes,https://www.ukclimbing.com/logbook/crags/link_cove_becks-1814
Little Blake Rigg,England,Cumbria,54.38083,-3.17,13,Rhyolite,,https://www.ukclimbing.com/logbook/crags/little_blake_rigg-3245
Little How Crag,England,Cumbria,54.3858,-3.1178,11,Rhyolite,,https://www.ukclimbing.com/logbook/crags/little_how_crag-1345
Little Stand Crags,England,Cumbria,54.41945,-3.15917,53,Rhyolite,,https://www.ukclimbing.com/logbook/crags/little_stand_crags-370
Loft Crag,England,Cumbria,54.45434,-3.11612,3,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/loft_crag-15114
Long Crag Coniston,England,Cumbria,54.37402,-3.07984,3,Gabbro,yes,https://www.ukclimbing.com/logbook/crags/long_crag_coniston-22640
Lord's Seat,England,Cumbria,54.62785,-3.23404,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/lords_seat_cumbria-13878
Low Water Crag & Low Water Beck,England,Cumbria,54.373,-3.1222,11,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/low_water_crag+low_water_beck-1811
Maiden Moor,England,Cumbria,54.55301,-3.18119,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/maiden_moor-15560
Meg's Gill,England,Cumbria,54.44483,-3.04529,1,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/megs_gill-31631
Middlefell (Wasdale),England,Cumbria,54.44928,-3.3074,8,Rhyolite,,https://www.ukclimbing.com/logbook/crags/middlefell_wasdale-10453
Middlesteads Gill,England,Cumbria,54.54455,-3.08056,1,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/middlesteads_gill-31634
Mill Gill,England,Cumbria,54.56889,-3.04722,2,UNKNOWN,yes,https://www.ukclimbing.com/logbook/crags/mill_gill-1865
Mouldry Bank And Rascal How,England,Cumbria,54.37396,-3.086,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/mouldry_bank_and_rascal_how-19256
Nab Crag,England,Cumbria,54.50139,-3.06389,14,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/nab_crag-3714
Nethermost Pike,England,Cumbria,54.5186,-3.0152,10,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/nethermost_pike-14926
Pavey Ark,England,Cumbria,54.4619,-3.1049,98,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/pavey_ark-342
Piers Gill,England,Cumbria,54.46537,-3.21562,3,Rhyolite,,https://www.ukclimbing.com/logbook/crags/piers_gill-4241
Pike of Stickle,England,Cumbria,54.4564,-3.1214,17,UNKNOWN,yes,https://www.ukclimbing.com/logbook/crags/pike_of_stickle-15060
Pillar,England,Cumbria,54.4975,-3.2812,119,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/pillar-519
Pisgah,England,Cumbria,54.5048,-3.274,1,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/pisgah-27096
Rainsborrow Crag,England,Cumbria,54.45412,-2.85726,9,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/rainsborrow_crag-23092
Raven Crag (Kentmere),England,Cumbria,54.43777,-2.84154,3,Rhyolite,,https://www.ukclimbing.com/logbook/crags/raven_crag_kentmere-27439
Raven Crag (Kirkstone),England,Cumbria,54.4664,-2.9342,7,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/raven_crag_kirkstone-1799
Raven Crag (Langdale),England,Cumbria,54.4481,-3.1042,140,Rhyolite,,https://www.ukclimbing.com/logbook/crags/raven_crag_langdale-344
Raven Crag (Yewdale),England,Cumbria,54.39625,-3.05317,19,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/raven_crag_yewdale-3147
"Raven Crag, Threshthwaite Cove",England,Cumbria,54.49278,-2.89861,22,Rhyolite,,https://www.ukclimbing.com/logbook/crags/raven_crag_threshthwaite_cove-482
Raven Tor (Coppermines),England,Cumbria,54.37944,-3.11611,7,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/raven_tor_coppermines-1810
Red Pike (Wasdale),England,Cumbria,54.48341,-3.28952,3,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/red_pike_wasdale-14956
Red Screes crag,England,Cumbria,54.46833,-2.935,11,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/red_screes_crag-1299
Roman Fell,England,Cumbria,54.57738,-2.38181,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/roman_fell-24136
Rossett Pike,England,Cumbria,54.45775,-3.15954,3,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/rossett_pike-15191
Round How,England,Cumbria,54.4622,-3.207,37,Rhyolite,,https://www.ukclimbing.com/logbook/crags/round_how-718
Sandbed Gill,England,Cumbria,54.58667,-3.05361,3,UNKNOWN,yes,https://www.ukclimbing.com/logbook/crags/sandbed_gill-1866
Scafell,England,Cumbria,54.4476,-3.2248,5,Rhyolite,,https://www.ukclimbing.com/logbook/crags/scafell-17131
Scafell Crag,England,Cumbria,54.4497,-3.219,157,Rhyolite,,https://www.ukclimbing.com/logbook/crags/scafell_crag-680
Scale Gill,England,Cumbria,54.45403,-3.07732,1,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/scale_gill-21111
Scout Crags,England,Cumbria,54.4524,-3.0838,41,Rhyolite,,https://www.ukclimbing.com/logbook/crags/scout_crags-340
Seathwaite Upper Slabs,England,Cumbria,54.5006,-3.1913,11,Andesite,,https://www.ukclimbing.com/logbook/crags/seathwaite_upper_slabs-8788
Selside Pike,England,Cumbria,54.4933,-2.78848,5,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/selside_pike-15184
Side Pike,England,Cumbria,54.4388,-3.0915,36,Rhyolite,,https://www.ukclimbing.com/logbook/crags/side_pike-3121
Sourmilk Gill,England,Cumbria,54.49917,-3.18583,3,UNKNOWN,yes,https://www.ukclimbing.com/logbook/crags/sourmilk_gill-1846
Sourmilk Gill (Buttermere),England,Cumbria,54.53473,-3.28036,1,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/sourmilk_gill_buttermere-21110
St. Sunday Crag,England,Cumbria,54.512,-2.9758,36,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/st_sunday_crag-449
Stanah Gill,England,Cumbria,54.56103,-3.05141,1,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/stanah_gill-31636
Stickle Barn Crag,England,Cumbria,54.4525,-3.09028,24,Rhyolite,,https://www.ukclimbing.com/logbook/crags/stickle_barn_crag-1614
Sunlight Crag,England,Cumbria,54.38356,-3.1069,10,Rhyolite,,https://www.ukclimbing.com/logbook/crags/sunlight_crag-10744
Swart Beck (Sticks Gill),England,Cumbria,54.54969,-2.98517,1,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/swart_beck_sticks_gill-26495
Swarthbeck Gill (Ravens Crag Boulders),England,Cumbria,54.579,-2.8455,65,Rhyolite,,https://www.ukclimbing.com/logbook/crags/swarthbeck_gill_ravens_crag_boulders-18148
