Name,Description,Walk time,Location,Tags
CARADON HILL POOL & RUINS,"Deep, clear quarry pool with remains of a submerged crane and big views, good for a sunset dip and maybe even a wild camp. From Minions take the road by the shop up toward Caradon Hill Transmitter, PL14 5LT. After 700m park in layby on L and walk up track on R 250m to quarry. Fascinating and little-visited ruins of engines houses, chimneys and the old reservoir 600m to the SW, 50.5043, -4.4471). Also accessible from The Crows Nest to the S, PL14 5JQ (good traditional pub, 01579 345930).",5 mins,"50.5085, -4.4421","[""Heritage / ruins"", ""Take extra care""]"
"ROCKY VALLEY, TINTAGEL","Follow the ancient, wooded stream valley down to the sea. There are waterfalls towards the bottom, and the pools are big enough for a dip. Look out for the ruins of Trewethett Mill with old millstones in the undergrowth halfway down. On rock face behind are two beautiful carvings of labyrinths, possibly ancient. Park on B3263, ½ miles E of Bossiney, at layby on R just after tiny lane junction, PL34 0BB. Cross road and find signed path by white house.",10 mins,"50.674, -4.7299","[""Kids / paddling"", ""Long swim possible"", ""Waterfall"", ""Heritage / ruins"", ""Walk in""]"
"ST NECTAN’S KIEVE, TINTAGEL","At the head of a wild glen with prayer flags adorning the trees, a tall, slender waterfall falls into a high basin, flows through a circular hole and drops into a plunge pool (the kieve). Above in the hermitage is a shrine room and tea room. Park on B3263, ¾ miles E of Bossiney, in laybys on L in Trethevy, PL34 0BG. Cross road and take track by postbox, bearing R with St Piran’s church on L (do look inside – there’s a holy well too). Continue a mile along the stream (the same one that flows on down into the Rocky Valley, see listing). The stream bed continues straight to the waterfall, and could possibly be followed, but take the steps up to the hermitage at the top (£8/£4 entrance fee) and descend via the steps to waterfall for the full experience.",20 mins,"50.6644, -4.7168","[""Entry fee"", ""Kids / paddling"", ""Long swim possible"", ""Waterfall"", ""Food / facilities"", ""Church / chapel""]"
CORNISH TIPI HOLIDAYS,"The original tipi and wild-swimming campsite. 16 acres of woodland and meadows and its own beautiful, spring-fed quarry lake. Now with a pop-up cafe and wood-fired pizzas. Pendoggett, PL30 3LW, 01208 880781, cornishtipiholidays.co.uk",5 mins,"50.5815, -4.7708","[""Entry fee"", ""Campsite""]"
KIT HILL QUARRY,"Enjoy the view, tower and various ruins then find the disused quarry lake for a dip. Blocks of quarried stone surround the lake, including many pieces once destined for London bridges. Turn L off A390, 2 miles NE of Callington, PL17 8HR. Park at the first parking on R, and 50m beyond descend on trackway on R. After 300m turn R for tailings lookout or L into the old quarry.",15 mins,"50.522, -4.295","[""Long swim possible"", ""Heritage / ruins"", ""Sunset / view""]"
"COTEHELE, R TAMAR","Launch your canoe or start a long adventure swim from the historic quay at Cotehele, swim with the outgoing tide from Calstock to Cotehele, or float upstream on the incoming. Explore further upstream with the tide as far as the weir at Gunnislake. Pass below steep woodlands and beneath the famous Calstock viaduct, to view old quays and ruined wharfs, relics of a oncethriving copper industry. The quiet stretch above Morwhellam, beneath the crags of Morwell Rocks is beautiful. Watch out for deer, kingfishers and peregrine falcons. PL17 8BY, £2 launch. Organised trips are offered by Canoe Tamar, 01822 833409.",240 mins,"50.4913, -4.2234","[""Good for SUPs"", ""Nature / wild flowers""]"
SPRYTOWN WEIR,"A remote countryside dip at a weir on the River Lyd, 4 miles to S of A30 Roadford junction, PL16 0AY. Walk down through the farmyard and take path on L, 400m.",10 mins,"50.6426, -4.2471","[""Private land, be discreet""]"
ROADFORD LAKE,"Beautiful pastoral reservoir surrounded by meadows and woods with a path around its entire shore. No Swimming, but to admire the most secluded parts from the shore, away from fishing and bird hides, take the Headson Trail from lane along E side.",3 mins,"50.7019, -4.2136","[""Entry fee"", ""Good for SUPs"", ""Uncertain access"", ""Campsite""]"
"WIDGERY CROSS, R LYD","Small tumbling plunge pools in moorland glen with gorse and heather, aka Black Rock Falls or Witch’s Pool. Turn off A386 by Dartmoor Inn opp Lydford turning (good food, EX20 4AY, 01822 820221) and continue to car park. Follow track up onto the moor and after 800m meet stream and follow its R bank 400m to find bench and plaque under tall rocky outcrop with pool below.",20 mins,"50.65, -4.0772","[""Walk in"", ""Secluded, remote"", ""Long swim possible"", ""Kids / paddling""]"
"TUCKER’S POOL, R LYD","Secret, jungly pool in a narrow canyon just upstream of the famous NT Lydford Gorge. Take dead-end lane opposite Lydford war memorial (EX20 4AT) to 50.6456, -4.1031. Follow path to old viaduct and steep path down to old Victorian gates at the bottom (sometimes locked) then hard R, over fence into woods and downstream along wooded gorge for 200m.",5 mins,"50.6423, -4.1064",[]
