Name,Description,Walk time,Location,Tags
BOD PETRYAL POOL,"Large woodland lake with trails, perfect for a dip and very easy to get to. Follow B5105 from Clawdd-newydd W. After 3 miles take L signed Melin-y-wig before LL21 9PR. Forestry car park is on R.",3 mins,"53.0477, -3.4373","[""Long swim possible"", ""Kids / paddling"", ""Nature / wild flowers""]"
"STRYT-ISAF LAKE, WREXHAM","This old sand-and-gravel lake was always nice for a discreet dip on a hot day, accessed from the public footpath at N end, across railway. Now it has been bought by a community project (parkinthepast.org. uk) you'll need to use your judgement. The S end has OWS sessions and tent saunas (saunacwtch.co.uk)",5 mins,"53.1311, -3.0498","[""Entry fee"", ""Long swim possible"", ""Uncertain access""]"
"PLAS POWER FALLS, CLYWEDOG","The weirs along the Clywedog supplied power for the many important surrounding ironworks and corn mills. The sylvan valley trail through damp woods is a botanists’ dream, and you’ll also find one of the best-preserved sections of Offa’s Dyke. From Bersham old ironworks, LL14 4LL, head W 250m past St Mary’s church to find horseshoe weir on R (53.0371, -3.0393). Park here. Take a dip and follow river upstream on far bank to the more impressive waterfall weir, 800m further along the Clywedog Trail. Offa’s Dyke crosses river here. Another mile upstream leads to Nant Mill country park and visitor centre (53.0434, -3.0620). Further upstream are the Minera Lead Mines and country park. Downstream you can explore more of the Clywedog at the Erddig country park, S of Wrexham.",10 mins,"53.0381, -3.0487","[""Long swim possible"", ""Nature / wild flowers""]"
"RIVER DEE, ECCLESTONE","Convenient riverside car park, from which to reach the water for swimming or canoeing. Fills up early in summer. Footpath heads both up and downstream, but upstream leads to the beautiful Crook of Dee meander. From Ecclestone take Paddock Rd dir CH4 9JE, following L past gates to ferry parking at end of road.",10 mins,"53.1534, -2.876","[""Long swim possible"", ""Good for SUPs""]"
"IRON BRIDGE, RIVER DEE","This is undoubtedly one of the finest remaining examples of a Thomas Telford cast-iron bridge. Spanning a wide, bucolic stretch of the river Dee, with footpaths up and downstream. Make yourself visible with swim hat / tow float as motorised boats do use this stretch. In Aldford (CH3 6HX), park at church side entrance and take foothpath through white gates and across fields down to woods and river bridge, 800m.",10 mins,"53.1349, -2.8711","[""Long swim possible""]"
LLYN CELYN,"Llyn Celyn occupies an important place in Welsh history, it having been created by the controversial flooding of the community of Capel Celyn in the 1960's. It is a peaceful, quiet spot now and the best swim would be had from the picnic spot at its W end, although as a Welsh Water reservoir, swimming isn't permitted, take all usual precautions. On A4212 a mile SW of LL23 7NY.",2 mins,"52.9487, -3.7183","[""Good for SUPs"", ""Long swim possible""]"
"LLYN TEGID/BALA, LLANGOWER","The largest natural lake in Wales, also called Bala Lake, with gravel shores and swimming freely allowed, though it suffers from bluegreen algae in the summer so be cautious. There’s a very easy cove by Llangower station car park, and more shore to explore, lined with ancient oaks, leading on to campsite at Pant Yr Onnen. Take B4403 just S of Bala, follow 2½ miles along lake Bala, ½ mile before (E of) LL23 7DA. Cross tracks to shore.",2 mins,"52.8757, -3.6331","[""Long swim possible"", ""Good for SUPs""]"
LLYN CAER EUNI,"A secluded and sheltered lake hidden in rolling moorland, perfect for a summer picnic and swim. On the A494 3½ miles NE of Bala, turn into Sarnau (LL23 7LG) and continue 1 mile to gate at road end. No parking but you may be able to fit one car near entrance to Caerau Gardens. Walk another 800m on track and L down across open access land to SE shore.",15 mins,"52.9534, -3.5163","[""Long swim possible""]"
"CARROG BRIDGE, RIVER DEE","River meadows, beach and pools by an old stone bridge, perfect for an easy swim and picnic. Then enjoy lovely river views and real ale on the terrace of the friendly Grouse Inn. Turn off A5 at Llydiart y Parc, dir LL21 9BD signed Carrog, and after ½ mile park R before river bridge. Cross to kissing gate at bridge and follow riverside footpath upstream for 800m. Grouse Inn is over bridge (LL21 9AT, 01490 430272).",2 mins,"52.9799, -3.3218","[""Long swim possible"", ""Pub"", ""Campsite"", ""Kids / paddling"", ""Uncertain access""]"
"RHEWL, RIVER DEE","Easy roadside paddle and swim spot, surrounded by trees and countryside. If you are travelling on the Llangollen steam railway you can also find your own private spot near Deeside Halt. Start as for Horseshoe Falls (see listing) but continue past car park to Rhewl. There take L for LL20 7YT and follow L past the Sun Inn to find pulling off space ⅓ mile further along, where road runs along river. Leave enough space for a passing place. Deeside Halt pools are above the little weir 300m downstream of the halt, at 52.9736, -3.2276. Can also be accessed from A5, find parking area just E of Tollgate Cafe, cross road, take footpath, crossing rail line to river.",1 mins,"52.9905, -3.2285","[""Long swim possible"", ""Kids / paddling"", ""Uncertain access""]"
"HORSESHOE FALLS, RIVER DEE","Set in parkland in a beautiful valley, the graceful curve of this weir may be beautiful but it creates dangerous currents – never swim below the weir and avoid when current running strong. The pool above is deep and can be calm, easily accessed from the footpath. Built by Thomas Telford in 1804–06, to supply the Llangollen canal. A5 heading W from Llangollen, take R signed Ruthin over river by the train station in Berwyn. Turn L at end, uphill to the pay car park on L, ½ mile before LL20 8BT. Follow riverside path to falls.",5 mins,"52.9816, -3.1996","[""Long swim possible"", ""Popular / busy"", ""Take extra care"", ""Uncertain access""]"
"CYSYLLTAU BRIDGE, RIVER DEE","Follow the wooded footpath along the river, enjoy fine views of Pont-Cysyllte Aqueduct, and discover plenty of places to stop for a paddle or bathe. From Froncysyllte A5 take B5434 1 mile, dir LL20 7YS, and park before bridge on R. Cross bridge and find riverside path down on R.",3 mins,"52.9707, -3.0913","[""Long swim possible"", ""Uncertain access""]"
"OVERTON, RIVER DEE","Remote meander of the Dee in open fields with a sunny shingle beach. Explore the riverbank both ways on the Wat’s Dyke Way. On A528 (A539) ⅓ mile NW through Overton, look out for two ornate wooden gates into woods, just before LL13 0HF. Parking for one here. Descend on footpath through woods, bear R on reaching the open fields, downstream to the river 200m.",10 mins,"52.9715, -2.9464","[""Long swim possible"", ""Uncertain access""]"
COLEMERE COUNTRY PARK,"In an area of glacial lakes, Cole Mere is one of the more easily accessible, with a quiet shore path on open access land where a dip might go unnoticed, but be discreet. Blue-green algae possible. Orchids decorate the hay meadows in spring. Signed from the A528, 2 miles S of Ellesmere. Follow road taking L fork after crossroads, past turning for SY12 0QL, then L at T-junction to lakeside car park. Follow path around to wooded N shore for quieter spots. Some also swim from NW shore of Ellesmere (52.9122, -2.8815).",5 mins,"52.891, -2.8402","[""Long swim possible"", ""Uncertain access"", ""Birdlife"", ""Nature / wild flowers""]"
HANMER MERE,"Wander through the woods past carpets of bluebells until you reach an open meadow and small, secluded, sandy beach, perfect for a swim. Hanmer is signed 9.6km W of Whitchurch on A539). Park at Glendower Place (SY13 3DF) and follow footpath through gate on corner 500m L through woods, keeping the mere on your R.",10 mins,"52.9469, -2.8147","[""Long swim possible"", ""Beach"", ""Walk in"", ""Dark skies""]"
ALDERFORD LAKE,"This pretty lake, with good water quality, is a spot popular with wild swimmers and triathletes. It is also a peaceful place for a walk or bring your own kayak or paddleboard. Fees apply. Cafe on site. From roundabout on A41 just south of Whitchurch (SY13 3JQ) take B5476 signed Wem. Entrance L after 500m.",4 mins,"52.9522, -2.6742","[""Entry fee"", ""Long swim possible"", ""Kids / paddling"", ""Picnic spot""]"
PISTYLL RHAEADR & LLYN LLUNCAWS,"One of the highest waterfalls in Wales thunders down a vertical cliff and then escapes through a circular hole. Small pools for plunging are below the footbridge. Adjacent are tea rooms, loos and campsite, so it can get quite busy. Take the path to the top for far reaching views, or walk high up into the hills through the stunning Nant y Llyn valley to Llyn Lluncaws, a pretty glacial tarn tucked below the cliffs of Moel Sych. Signed Pistyll off the B4580 in Llamrhaeadr-ym Mochnant. Follow singletrack road 4 miles to end, past SY10 0BZ. Parking £5. You can also park 800m before, and walk in on footpath (52.8513, -3.3677). For Llyn Lluncaws (52.8741, -3.3797), follow the path on E of falls, cross the Nant y Llyn river and continue N following it upstream for 2.6km.",5 mins,"52.8546, -3.378","[""Take extra care"", ""Waterfall""]"
RHIWARGOR FALLS,"Also named Pistyll Rhyd-y-meinciau, a multi-tier set of falls on the Afon Eiddew, cascading steeply down with several small pools, including a super infinity pool. Scramble up the different levels on a rough path alongside. Additional pools above the waterfall. A 1.6km walk W of the picnic site at NW end of the lake.",2 mins,"52.8087, -3.5538","[""On a cycle route"", ""Waterfall"", ""Long swim possible"", ""Sunset / view"", ""Dark skies""]"
"PONT LLOGEL, RIVER VYRNWY",An old stone bridge and wooded gorge with an easy-access riverbank walk for over 3 miles along Ann Griffiths Walk (and Glyndwr’s Way). Deep enough for a swim under the bridge. B4395 over river a mile N of SY21 0QD. Forestry car park at N side of bridge.,1 mins,"52.7277, -3.4348","[""Long swim possible"", ""Nature / wild flowers"", ""Walk in""]"
"DOLANOG FALLS, RIVER VYRNWY","Very impressive wooded waterfalls and weir below white cliffs. Enjoy a deep section above the rope swings and all the way up to the old road bridge. Some deep pools downstream too. Explore more river pools downstream along Glynd⅓r’s Way. Below B4382, ¼ mile E of Dolanog (beyond SY21 0LQ). Some parking on L adjacent to river or car park at postcode.",1 mins,"52.7036, -3.3812","[""Walk in"", ""Waterfall""]"
"NEWBRIDGE, RIVER BANWY","On the Banwy where it meets the Vyrnwy, you’ll find a glorious section of deep river pools either side of the New Bridge, studded with beaches and ancient trees. Uncertain access, and no parking space so best on bikes, but this is a well-known swimming spot. On A495, 2 miles S of Meifod, turn at traffic lights, to and past SY22 6HR and over New Bridge across Banwy. Just after, find stile on L down to river beach, be aware that this is not an official right of way. Beach and pool upstream (turn R up lane after bridge and drop down, or go over gate before bridge), but possibly private. From Meifod side of traffic lights, a footpath leads 800m upstream to a weir. Or swim all the way down to Meifod (see listing).",3 mins,"52.6928, -3.2692","[""Long swim possible"", ""Uncertain access""]"
"BRONIARTH BRIDGE, MEIFOD","Open, sunny and deep with fine views, this is perhaps the easiest place to swim on the beautiful Vyrnwy. Turn off A495 in Meifod, dir Recreation Facilities and SY22 6DA past rugby club/tennis courts to find Broniarth Bridge and limited verge space on far side. Riverside footpaths head downstream for a 1.6km (L bank to a beach).",2 mins,"52.7073, -3.2499","[""Long swim possible"", ""Kids / paddling"", ""Walk in""]"
"SEVERN/VYRNWY, CREWGREEN","A glorious stretch of deep, tranquil water where the Severn and Vyrnwy meet. Perfect for jumps, dives and swimming. At E end of Crewgreen (SY5 9AT) take lane N signed Melverley (National Cycle Route 81) for 500m. Park R just before bridge and follow footpath R down, then L under bridge.",5 mins,"52.7359, -2.9966","[""Long swim possible"", ""Jump or rope swing"", ""Picnic spot"", ""Secluded, remote""]"
"MELVERLEY, RIVER VYRNWY","Upstream of Melverley the footpath follows the meandering river Vyrnwy through empty lowland pasture for over four miles with a couple of good access points for a dip or long linear swim. St Peter’s black-and-white church on the bank is one of the oldest of its kind, rebuilt in the 15th century after Owain Glynd⅓r burnt it to the ground. There is a Jacobean pulpit and a chained Bible. Leave B4393 at Crewgreen, opp SY5 9BS, for Melverley. After 1 mile the church is signed L (SY10 8PJ, dead end). Follow footpath N past caravan park to explore the river meanders. Upstream there is vehicular byway access to a remote section of the river from SY10 8PQ (about ½ mile on a dirt track), and the road meets the river again ½ mile SE of SY10 8QJ.",2 mins,"52.7425, -2.9903","[""Long swim possible"", ""Good for SUPs"", ""Church / chapel""]"
"ROYAL HILL, RIVER SEVERN","Grassy banks, shingle beaches and a pub on one of the few access points to the Severn on this stretch. Swim upstream or down, but be aware that there is no road or footpath access along the river banks. This does make it a haven of wildlife and tranquility. As for Melverley (see listing) but continue past church turning to take next R to SY10 8ES. Large layby with footpath down to river opp the Royal Hill Inn and campsite (01743 741242).",2 mins,"52.7498, -2.9627","[""Long swim possible"", ""Good for SUPs"", ""Pub"", ""Campsite"", ""Nature / wild flowers""]"
"SHRAWARDINE, RIVER SEVERN","A lovely, grassy-banked section of the young River Severn with an easy entry point next to the ruined railway bridge. A good take-out point if kayaking from Royal Hill (see listing). In Shrawardine take lane NW dir SY4 1AJ (National Cycle Route 81). Park by last houses, follow footpath sign to L to river.",15 mins,"52.7330, -2.8996","[""Long swim possible"", ""Walk in"", ""Secluded, remote""]"
"ATCHAM, RIVER SEVERN","Dip your toes at this calm, shallow bend in the River Severn or walk upstream and swim down through the languid, deeper waters. Park at Atcham, 2.4km from Shrewsbury ring road on B4380. Long lay-bys on road W of and opp Mytton and Mermaid Hotel (SY5 6QG). Footpath at E end of old bridge down to a shallow sandy beach.",5 mins,"52.6790, -2.6812","[""Long swim possible"", ""Good for SUPs"", ""Walk in"", ""Picnic spot"", ""Kids / paddling""]"
"CRESSAGE, RIVER SEVERN","Access points on both sides of the river, offering a great opportunity to wallow in the water under Cressage Bridge. Watch out for nettles! From Cressage (SY5 6DE) take the B4380 N. After 600m, take footpath on L just before bridge and follow down to the riverside. Walk or cycle from village.",7 mins,"52.6378, -2.6010","[""Long swim possible"", ""Good for SUPs""]"
"IRONBRIDGE, RIVER SEVERN","A glorious gorge swim under the iconic Ironbridge. Enter the water under the cooling towers at Dale End car park and swim down under the bridge to easy exit point at Severnside. Head NW out of Ironbridge along river on Wharfage to Dale End car park on L (TF8 7NJ). Short walk to river. Exit at Severn Side path to L: 52.6270, -2.4825.",3 mins,"52.6272, -2.4853","[""Long swim possible"", ""Good for SUPs"", ""Mine / industry"", ""Picnic spot"", ""Popular / busy"", ""Kids / paddling""]"
"AFON DWYFOR, LLANYSTUMDWY","A bend in the river with a pretty pool popular with families, just along the riverside path from David Lloyd George’s birthplace and final resting place. Park sensitively in the village - best spot 130m E of the museum (LL52 0SH). Follow signs from bridge to Lloyd George’s grave (‘bedd’) 120m E of LL52 0SW, then continue on the riverside path for 1.2km.",15 mins,"52.9317, -4.2636","[""Long swim possible"", ""Jump or rope swing"", ""Walk in"", ""Church / chapel""]"
CWM PENNANT POOL,"It's not deep but this is the most easily accessible pool on the Dwyfor river, just below a road bridge and popular with families, who picnic on the grassy banks enjoying the beautiful secret valley setting. From Llanfihangel-Y-Pennant, ¾ mile beyond LL51 9AX. Space to pull off by the bridge.",1 mins,"53.006, -4.189","[""Long swim possible"", ""Kids / paddling""]"
PRINCE OF WALES QUARRY,"A clear blue lagoon in a hidden cleft, at the head of one of the most remote and beautiful valleys in Snowdonia. The water once fed the Prince of Wales quarry which only operated for 13 years. Quarry ruins to explore and a carpet of bluebells in late spring. From Penmorfa (A487 W of Porthmadog) follow the signs to Cwm Pennant via Woollen Mill, and continue 4 miles, through several gates, to road end and car park. Follow path 300m up to ruined mine manager’s house above on R, then continue up, bearing R up old railway, to reach ruined watermill and factory 200m. Follow stream valley to find old reservoir 200m above. Bring a map!",20 mins,"53.0236, -4.1657",[]
DOROTHEA QUARRY LAKE & RUINS,"A vast, wild site with many fascinating overgrown ruins, like a Welsh Angkor Wat. Circumnavigate the lake to discover old railways and a beam pump house. Over 100m deep in places, the lake is the culmination of many flooded quarry pits. Swimmers are welcome at the diving pontoon, at the end of a rough vehicle track. Currently open to the public, but development plans afoot. Park near the roundabout at the far E end of Talysarn (LL54 6AF). Follow access track E: after 70m a stile R leads to a swimming lagoon in fields, 100m on is a new security gate. Continue on main track 700m to reach the parking for the main dive/swim location (open to vehicles) at listed lat long. But bear L on footpath for ruined Talysarn Hall and barracks on R at 53.0559, -4.2439. Beyond the lake dive site, detour off E along the deep tramway cuttings, and find many more ruins to the N and E. Circumnavigate lake to find to find the magnificent Cornish beam pumping engine at 53.0542, -4.2435, with a second lake to the SW with tall island.",15 mins,"53.0561, -4.2393","[""Long swim possible"", ""Heritage / ruins"", ""Take extra care""]"
MOEL TRYFAN BLUE LAGOON,"Set under Dolomite-like pinnacles in a lunar landscape of slate ruins (you may still see the odd quarry truck here), find four iridescent blue open-access lakes and the mini peak of Moel Tryfan with sunset views out over the Llŷn. Entering Y Fron from W on A487, turn L at telephone box (dir LL54 7BT) and park immediately on R, by track. Follow track 400m up NE to reach first crater lake (53.0740, -4.2245, skirt round on its L to find way down). Continue on NE on quarry tracks another 800m to reach the main trio of lakes.",20 mins,"53.0816, -4.2138","[""Long swim possible"", ""Jump or rope swing"", ""Sunset / view""]"
LYNNAU CWM SILYN,"Two super-clear, blue tarns, looking out to sea. Perfect for catching a midsummer sunset swim. Space for 2-3 cars through gate at the very end of the mountain lane beyond LL54 6RT. Follow track E for 1.6km. Upper lake is deeper. Nearby Llyn Cwm Dulyn has a similar aspect, but is lower and closer to road, at 53.0238, -4.2531, via LL54 6EA.",20 mins,"53.035, -4.2214","[""Long swim possible"", ""Sunset / view""]"
LLYN-Y-GADER QUARRY & CYCLE,"The old quarry tramway, now the Lôn Gwyrfai cycle path, runs along the shores of Llyn-y-Gader to quarry ruins with a blue lake crater, and continues all the way to Beddgelert. Park as for Llyn Nadroedd (see entry), but take path on opp side of road. Follow 800m around lake; when path turn E, the quarry is 100m above to W.",20 mins,"53.0453, -4.1429","[""On a cycle route"", ""Long swim possible""]"
LLYN NADROEDD & GLANRAFON QUARRY,"One of a trio of beautiful tarns in westfacing Cwm Clogwyn. Superbly clear and super cold! Take footpath from main car park just S of Rhyd-Ddu A4085 (LL54 6TN). Take Rhyd-Ddu path for Yr Wyddfa / Snowdon but veer L around Llechog ridge; in total some 4km of walking and 300m of climbing. Descend via Glanrafon, a huge azure quarry crater, Access to water is via a tricky scramble scree on NW edge, only for adventurous, but interesting ruined barracks, waterwheels and a mill, all from 1875 (53.0655, -4.1188).",90 mins,"53.0677, -4.098","[""Long swim possible"", ""Secluded, remote"", ""Sunset / view""]"
LLYN PADARN SHORE,"A large, glacial lake, perfect for a quick canoe or swim among wooded islands, coves and peninsulas – all created by slate waste. From A4086 at the far N end of Llanberis, almost opposite turn into town (dir LL55 4PX), turn towards lake to find several different separate parking/drive-on beach areas among the trees and a sauna (saunawales.co.uk). Good spot for an easy overnight.",2 mins,"53.1273, -4.1332","[""Long swim possible"", ""Good for SUPs"", ""Dark skies""]"
LLYN GLAS & CWM GLAS,"This enchanting wild tarn has an island, on which grow two picturesque Scots pines. It sits in the secret Cwm Glas, one of the least trodden areas of Yr Wyddfa -Snowdon, with an infinity-pool view to the pinnacles of Crib Goch rising up before you. From here you can ascend to Llyn Bach and on up the scrambling ridge of Gyrn Lâs/Crib y Ddysgl (the Cwm Glas horseshoe).1½ mile NW of Pen-y-Pass on the A4086 (LL55 4NY) there is layby parking, by the Cromlech boulders, and a few more spaces ¼ mile further. Often full by early morning. Walk 400m past these to second bridge and follow Cwm Glas Mawr up, then head L to tarn. A map is needed, as there are few paths.",80 mins,"53.0807, -4.0638","[""Long swim possible"", ""Scramble / climb"", ""Sunset / view"", ""Difficult path"", ""Island""]"
"OGWEN BANK, BETHESDA","If you ignore the mobile homes, this is as beautiful as any river scene, with a view up the Ffrancon valley, a stone bridge, ancient oaks, waterfalls and a huge pool for swimming, and popular with locals in the summer. Scramble up slate on the other side of the bridge to peer down into the flooded part of Penrhyn quarry, once the biggest slate production site in the world. Easy parking in layby off A5 by entrance of the caravan park (LL57 3LQ). Walk down entrance way to bridge.",2 mins,"53.1681, -4.0561","[""Long swim possible"", ""Waterfall""]"
CWM CLYD LAKE,"This little glacial lake has a peninsula, towering mountains and epic Ffrancon valley views. At 600m it’s an imposing place to swim. From the NT Ogwen Cottage visitor centre, parking and kiosk (off the A5 at LL57 3LZ), climb up to Llyn Idwal. Bear R at the lake, then climb up to the W between Pinnacle Crag and Castell y Geifr.",60 mins,"53.1168, -4.0412","[""Dark skies"", ""Long swim possible""]"
"CWM CASEG & LAKE, CARNEDDAU","Swim surrounded by towering cliffs at Llyn Caseg, set in a remote glacial valley in the magnificent Carneddau range. From Bethesda drive beyond LL57 3UD to park at road end at pump station. Follow path E upriver 5km to lake. After 1.6km find tunnel which leads to a quarry chamber (53.1805, -4.0185).",90 mins,"53.1656, -3.9785","[""Long swim possible"", ""Caves / canyons"", ""Dark skies"", ""Secluded, remote""]"
AFON DULYN WATERFALL,"Excellent waterfall with a big pool, just off the lane, in ancient woods. In Tal-y-bont, turn as for Llyn Eigiau (see listing), and continue ½ mile to double hairpin bend and grit bin R just beyond (no parking), where path descends to stream. Ford and continue upstream. Not an official right of way but path regularly used.",5 mins,"53.1975, -3.8622","[""Nature / wild flowers"", ""Caves / canyons"", ""Uncertain access""]"
AFON DDU GORGE,"Gorge scramble popular with activity groups, with smallish pools and falls. Passes through an SSSI for plant life so don't clamber on the vegetation. Approaching Dolgarrog from S on B5106, find car park R after narrow bridge and LL32 8JG. Cross road and climb tarmac road, taking footpath on L to stream (see noticeboard and map of scramble). Exit above main waterfall to L, and return down on tarmac road.",5 mins,"53.1785, -3.8359","[""Long swim possible"", ""Scramble / climb"", ""Take extra care""]"
LLYN GEIRIONYDD & KLONDYKE,"A particularly accessible and popular swimming lake, with car park and little lane along its entire length, but in beautiful scenery. There’s a slipway for canoes and dinghies, a meadow for picnics at S end and. A gorge scramble with tunnel leads down to the fascinating Klondyke mine ruins from the N end (53.1421, -3.8475). Lakeside car park well signed just beyond LL27 0YX.",2 mins,"53.1268, -3.8501","[""Long swim possible"", ""Good for SUPs"", ""Popular / busy"", ""Kids / paddling"", ""Scramble / climb""]"
CORS BODGYNYDD,"Two beautiful lakes backed by mountains sit in a strange land of hummocked hillocks and wetland bog – ancient spoil heaps from zinc mining 400 years ago, now re-wilded. The first lake, just a moment from the road, has an old dam wall with deep water for a swim. Gates to the reserve on the R, just beyond turn off L for LL27 0YZ and limited parking. Walk in 150m, bearing off R to the dam wall.",5 mins,"53.1201, -3.847",[]
"MINER’S BRIDGE, RIVER LLUGWY","Fun gorge with steeply sloping bridge and pools. The best pool and waterfall is 100m upstream with some good jumps; some easy riverside scrambling required. Heading W out of Betws on A5, take L to park in Rhes Dolydd street (LL24 0BU). Cross A5 and continue W 40m to find stone stile and steps down to river. After 100m reach Miner’s Bridge stairs. Head upstream. Or walk from Betws bridge on the far river path (L bank), 1.6km.",10 mins,"53.0962, -3.8238","[""Walk in"", ""Waterfall""]"
CONWY & LLUGWY CONFLUENCE,"Bring a picnic and enjoy an afternoon playing on the gravel beaches at the confluence of the rivers Conwy and Llugwy. With an inner tube you can ride the gentle rapids. Follow path from end of Station Rd car park in Betws-y-Coed (LL24 0AG) to river, under railway and downstream 400m to confluence. Footpath continues around the golf course and back to start by crossing the lines again via the station bridge.",10 mins,"53.0995, -3.796","[""Kids / paddling"", ""Long swim possible"", ""Good for SUPs"", ""Walk in""]"
"FAIRY GLEN, RIVER CONWY","A picturesque gorge with access for £1 per person plus £2 for parking. Bring cash. The big grassy junction pool is good for a longer, sunnier swim and family picnic. Upstream the gorge has some large rocks to sit on and a deep section down the middle to swim through (if not in spate). The path down can be tricky when wet. Also find Llyn yr Afanc, a huge, easy-access river pool named after a mischievous, mythical beaver of local legend, beneath the A470 bridge. S of Betws-y-Coed take A470 (dir Blaenau Ffestiniog). Signed on L just before bridge (dir LL24 0SL). For Llyn yr Afanc, turn R after bridge.",15 mins,"53.0725, -3.7953","[""Long swim possible"", ""Popular / busy"", ""Kids / paddling""]"
DOLWYDDELAN CASTLE QUARRY,This brooding13th-century castle tower stood sentinel over the Lledr valley. There's a free carpark for it on A470 and a deep quarry pool hidden 100m to the W of it.,2 mins,"53.0515, -3.9089",[]
"LLYNNAU MYMBYR, CAPEL CURIG","Twin lakes at the foot of Moel Siabod, where thick pine forest meets the water's edge at the valley floor, and a postcard view of the peaks of Yr Wyddfa, Y Lliwedd and Crib Goch is laid out ahead. Can be windy. On the A4086 W of Capel Curig, pass Plas y Brenin outdoor centre (pyb.co.uk for courses & accommodation) and find pull-in on L at LL24 0ET. Walk back towards centre and take gate on R down steps to lake. Cross bridge and turn R, to find various paths leading to lake shore. For second lake, drive 600m further W and find large layby near boulders and path down to lake.",5 mins,"53.1010, -3.9190","[""Long swim possible"", ""Sunset / view"", ""Accommodation""]"
FOEL QUARRY & LLYN Y FOEL,"Tucked below the crags of Moel Siabod, this old flooded slate quarry pool with waterfall cascading into the far end is a sheltered, sunny spot to swim. Nearby is natural lake Llyn y Foel, wonderfully situated below the Ddaer Du ridge. Park as for Cyfyng Falls (see listing), cross bridge and take second footpath on R. Climb 1km on lane which becomes track, go through gate and continue 1.5km, past reservoir to quarry pool. Llyn y Foel is a further 800m SW.",40 mins,"53.0814, -3.9160","[""Long swim possible"", ""Castle"", ""Mine / industry"", ""Secluded, remote"", ""Take extra care""]"
"CYFYNG FALLS, RIVER LLUGWY","The falls themselves are notoriously dangerous, with a turbulent pool beneath a towering waterfall and steep rock walls. The site is well used by local lads in summer, but because several deaths have occured, it has been fenced off with 'private' and 'no swimming' signs. Upstream are easier pools, one a large deep pool with rope swing in a pretty meadow. 50m W of Bryn Glo on A5 (LL24 0DT), find a small layby on L, often full from early morning, pay car park at Bryn Glo. Cross bridge, turn R to follow river upstream. Large river pool in meadow at 53.0981, -3.8966 and further pools near Cobden hotel at 53.1004, -3.8967.",15 mins,"53.0981, -3.8966","[""Long swim possible"", ""Waterfall"", ""Jump or rope swing"", ""Take extra care"", ""Uncertain access"", ""Difficult path""]"
"LLYN DINAS, BEDDGELERT","A mile-long valley lake at the foot of Snowdon with stunning craggy backdrop. Accessible directly from the main road. Has become popular with paddle boarders, and for picnics. 2 miles NE of Beddgelert on A498. ½ mile after Sygun Copper Mine find parking on L. Cross road for footpath over footbridge to far shore.",5 mins,"53.0224, -4.0664","[""Long swim possible"", ""Kids / paddling""]"
"CWM LLAN FALLS, WATKIN PATH","Cascading down the mountain, deep blue and decked with rowan, these sunny, southfacing pools are incredibly popular with both walkers returning from Yr Wyddfa and in their own right. Footpaths lead on up to Cwm Llan ruins or Merch falls (see listing). Park at Pont Bethania pay car park off A498 N of Beddgelert, opp LL55 4NQ turning, and follow Watkin Path signs. There is a deep pool for a dip right next to the bridge at Pont Bethania too.",30 mins,"53.0441, -4.0551","[""Walk in"", ""Waterfall""]"
MERCH FALLS & LLIWEDD MINE,"Situated on remote mountainside beneath the Y Lliwedd ridge, this copper mine has huge chambers and many old artefacts. It sits at the head of the Merch river stream with many remote waterfalls, slides and pools to discover. Ascend from Hafod-yLlan NT farm and campsite (LL55 4NQ).",90 mins,"53.0544, -4.0406","[""Difficult path"", ""Waterfall"", ""Secluded, remote""]"
LLYN GWYNANT & ELEPHANT ROCK,"Stunning lake surrounded by mountains with beaches and easy access along much of the eastern side. Make your way round to Elephant Rock (Penmaen-brith) cliff for epic jumps from all heights. Nantgwynant campsite on the lakeside, makes for a perfect base. The cliffs are obvious on the far NW shore of the lake. There is some limited space on the roadside at 53.0475, -4.0174, 50m NE from entrance to YHA Bryn Gwynant (LL55 4NP) where the shoreside footpath and beaches begin, and you can swim from here. To get to the Elephant Rock, follow the footpath through the campsite to the footbridge upstream, then double back towards the rocks, 1.2km, keeping below the mountain wall. Scramble down to shore at end. Or reach by boat from the road.",10 mins,"53.0492, -4.0244","[""Long swim possible"", ""Jump or rope swing"", ""Good for SUPs""]"
LLYN EDNO & PLUNGE POOLS,"Reached from the tiny lanes above Nant Gwynant, this is a wild and remote lake with large rock slabs on its E side for diving in. The route up traces the tiny Afon Llynedno with some magical hidden plunge pools, one at the bottom of a gorge cleft (53.0293, -4.0149). The whole stream is worth exploring in full. Parking is tricky, so arrive early in season (53.0249, -4.0338).",45 mins,"53.0282, -3.9946","[""Walk in"", ""Waterfall""]"
LLYNNAU CERRIG-Y-MYLLT,"The ridge of Cnicht conceals a land of wild enchanting lakes. This pair, at 410m, are completely hidden by crags and perfect for a summer wild swim and camp after an ascent of Cnicht. Park just N of the Nantmor Mountain Centre (Gelli Iago), a mile S of LL55 4NL, and head up past the hostel on the footpath, bearing up to the R along a wall after 1.2km. After about 450m, over another wall, find first lake.",50 mins,"53.0042, -4.0384","[""Long swim possible"", ""Dark skies"", ""Secluded, remote"", ""Sunset / view""]"
